Wall time,Step,Value
1748779086.8468387,2048,512.0
1748779119.4894989,4096,512.0
1748779152.6964877,6144,512.0
1748779188.2470663,8366,440.3157958984375
1748779218.6489735,10414,452.7826232910156
1748779250.0201945,12462,461.5555419921875
1748779283.676863,14709,459.65625
1748779317.7842171,16908,456.97296142578125
1748779351.348555,18956,462.3414611816406
1748779386.4488494,21004,466.75555419921875
1748779420.6021183,23325,466.5
1748779454.9389598,25684,466.9818115234375
1748779488.7484689,27984,466.3999938964844
1748779523.3857439,30212,464.79998779296875
1748779560.936106,32669,460.12677001953125
1748779595.8911004,35053,443.7088623046875
1748779629.6028643,37296,438.7764587402344
1748779663.7882836,39642,426.258056640625
1748779699.504482,42005,420.04998779296875
1748779735.2395802,44464,408.79998779296875
1748779766.9895878,46555,393.8699951171875
1748779799.4755595,48741,393.510009765625
1748779832.8895152,50963,385.010009765625
1748779867.3442242,53347,382.3800048828125
1748779901.673919,55441,369.9700012207031
1748779937.3729572,57816,350.0299987792969
1748779972.7455091,60084,331.239990234375
1748780007.1765556,62284,315.6000061035156
1748780043.9523904,64680,310.9800109863281
1748780077.9646287,66745,299.9200134277344
1748780112.7471182,68916,288.75
1748780148.2867367,71140,264.9800109863281
1748780183.2582452,73355,258.6300048828125
1748780225.7899344,76076,246.00999450683594
1748780260.7477918,78166,240.27000427246094
1748780294.697848,80298,224.82000732421875
1748780333.176374,82766,220.5800018310547
1748780369.9548492,85103,222.85000610351562
1748780404.028939,87290,226.10000610351562
1748780442.2800362,89812,227.60000610351562
1748780478.3816824,92157,235.82000732421875
1748780512.2436082,94329,242.72999572753906
1748780546.0389934,96485,247.6199951171875
1748780579.1339822,98580,247.1300048828125
1748780618.0356395,101143,245.5500030517578
1748780651.9262755,103324,251.5800018310547
1748780687.2341223,105609,254.3000030517578
1748780721.347398,107804,263.3800048828125
1748780758.9498916,110248,265.9700012207031
1748780795.0433145,112649,261.8500061035156
1748780827.9967542,114709,260.510009765625
1748780864.2292125,117054,277.5400085449219
1748780897.6923797,119203,274.44000244140625
1748780935.1472085,121691,273.6199951171875
1748780968.2180898,123799,283.0
1748781002.0331151,125969,283.79998779296875
1748781035.4806476,128058,287.9599914550781
1748781069.5439892,130255,296.239990234375
1748781103.5885923,132427,291.0299987792969
1748781136.5070221,134495,295.19000244140625
1748781175.0801065,137023,308.1300048828125
1748781210.8621285,139356,285.8699951171875
1748781244.4235702,141481,267.7200012207031
1748781279.3187156,143745,243.63999938964844
1748781315.2362518,146066,232.72000122070312
1748781348.9237697,148261,233.44000244140625
1748781384.9677079,150514,215.32000732421875
1748781419.5181394,152658,221.52999877929688
1748781459.4001272,154855,214.6699981689453
1748781495.9093883,157085,207.57000732421875
1748781533.346017,159418,212.3000030517578
1748781569.8989532,161751,226.1999969482422
1748781606.414027,163862,241.19000244140625
1748781645.0736833,166250,250.9600067138672
1748781679.9877224,168444,262.94000244140625
1748781719.3322644,170912,279.04998779296875
1748781753.7098868,173005,284.44000244140625
1748781787.3322823,175070,282.70001220703125
1748781822.443574,177245,285.8299865722656
1748781858.6871986,179568,296.1300048828125
1748781893.7128608,181743,297.6000061035156
1748781931.9654887,184233,296.1099853515625
1748781965.0828414,186349,303.0400085449219
1748781997.5391886,188498,304.44000244140625
1748782032.2481716,190794,308.6400146484375
1748782065.2570486,192979,311.6499938964844
1748782104.2448401,195652,299.1400146484375
1748782141.670915,197993,281.04998779296875
1748782179.6574938,200355,268.5299987792969
1748782219.7346385,202886,275.8599853515625
1748782253.5171278,204972,275.260009765625
1748782289.0356557,207183,282.0299987792969
1748782326.9678621,209597,282.17999267578125
1748782363.4248567,211850,285.9800109863281
1748782397.647754,213918,288.8599853515625
1748782432.8035128,216132,267.3699951171875
1748782468.237981,218313,263.5799865722656
1748782503.948919,220465,239.02999877929688
1748782541.1085074,222703,234.0500030517578
1748782578.7951307,224994,232.50999450683594
1748782614.831225,227164,209.08999633789062
1748782655.062765,229699,205.10000610351562
1748782690.7068455,231885,195.22999572753906
1748782725.9889665,234036,199.05999755859375
1748782759.612393,236086,201.38999938964844
1748782793.4839501,238281,195.49000549316406
1748782830.11321,240459,202.1300048828125
1748782867.039514,242721,209.0399932861328
1748782904.9802566,244948,211.05999755859375
1748782942.087285,247166,218.66000366210938
1748782973.6218903,249218,206.24000549316406
1748783007.5256891,251427,213.33999633789062
1748783047.616,253901,203.52999877929688
1748783083.8187027,256195,201.64999389648438
1748783118.0881636,258330,197.60000610351562
1748783152.9425395,260543,205.5
1748783186.047116,262667,204.0800018310547
1748783219.0025556,264808,195.05999755859375
1748783253.1253939,267057,197.08999633789062
1748783285.5743046,269162,204.52999877929688
1748783318.869493,271339,204.24000549316406
1748783353.4448001,273613,208.55999755859375
1748783389.3647819,275996,208.55999755859375
1748783426.301328,278465,217.77000427246094
1748783467.9798694,281346,226.85000610351562
1748783500.9201877,283483,209.80999755859375
1748783533.2279067,285583,217.5399932861328
1748783565.2416832,287656,201.08999633789062
1748783598.730664,289824,196.16000366210938
1748783631.9559238,291976,173.38999938964844
1748783663.785563,294061,174.52999877929688
1748783695.7966156,296137,172.69000244140625
1748783732.0927372,298559,172.1300048828125
1748783769.510039,301048,185.55999755859375
1748783805.143862,303407,185.61000061035156
1748783842.6084893,305932,186.38999938964844
1748783875.3084736,308036,194.97000122070312
1748783908.9584982,310220,197.69000244140625
1748783941.7852821,312367,188.9600067138672
1748783979.4681795,314943,180.10000610351562
1748784015.3964984,317326,167.64999389648438
1748784049.3137455,319533,147.3800048828125
1748784082.7792957,321710,139.8000030517578
1748784117.0134208,323949,136.74000549316406
1748784149.5082564,326030,135.83999633789062
1748784185.8218088,328327,133.00999450683594
1748784221.4336286,330459,137.16000366210938
1748784256.434368,332607,140.44000244140625
1748784292.7514243,334906,152.42999267578125
1748784328.1243029,337151,159.52999877929688
1748784361.4727764,339200,162.63999938964844
1748784398.6554825,341637,164.00999450683594
1748784432.9108896,343687,171.6999969482422
1748784469.0691516,345766,173.47999572753906
1748784506.40346,348054,175.0399932861328
1748784539.3619092,350180,172.4199981689453
1748784572.656875,352249,173.42999267578125
1748784605.8044121,354331,167.19000244140625
1748784642.2571766,356727,158.32000732421875
1748784676.4603553,358794,155.94000244140625
1748784710.4510999,360902,160.25
1748784748.0652132,363211,155.5800018310547
1748784781.517074,365316,147.5399932861328
1748784817.6595712,367628,135.3300018310547
1748784851.7414804,369744,136.9600067138672
1748784885.7208934,371922,119.80999755859375
1748784920.2589414,374035,110.91000366210938
1748784954.2655232,376213,111.91999816894531
1748784990.2525818,378467,116.88999938964844
1748785025.0056217,380631,109.7699966430664
1748785058.4218874,382718,120.94999694824219
1748785090.8040109,384767,121.02999877929688
1748785124.2826939,386876,129.30999755859375
1748785159.1782005,389132,127.77999877929688
1748785192.5872636,391255,124.8499984741211
1748785228.2118504,393534,116.01000213623047
1748785263.961107,395810,114.22000122070312
1748785297.6032248,397953,111.5199966430664
1748785334.731453,400355,111.26000213623047
1748785368.4408677,402477,108.73999786376953
1748785402.8996613,404637,113.83999633789062
1748785437.454339,406808,115.9000015258789
1748785477.511073,409365,123.6500015258789
1748785515.0806038,411726,129.75
1748785551.3094294,413987,136.07000732421875
1748785585.4743776,416129,140.8699951171875
1748785621.4670765,418418,148.61000061035156
1748785656.7726579,420642,146.2100067138672
1748785695.1376605,423210,143.57000732421875
1748785728.9038506,425383,136.57000732421875
1748785763.0446033,427560,134.19000244140625
1748785797.5899904,429760,139.47999572753906
1748785830.8428829,431853,134.35000610351562
1748785867.9169314,434261,137.86000061035156
1748785904.6774318,436622,145.92999267578125
1748785938.8024507,438794,150.91000366210938
1748785971.93103,441020,144.08999633789062
1748786007.7618973,443337,147.74000549316406
1748786041.3826272,445466,148.47999572753906
1748786081.7429755,448011,154.9199981689453
1748786121.2525709,450465,158.57000732421875
1748786157.4970436,452761,158.0500030517578
1748786190.130551,454812,170.2100067138672
1748786224.4467123,456946,169.07000732421875
1748786258.234565,459070,172.3699951171875
1748786292.1093884,461202,169.1300048828125
1748786325.5811713,463290,182.02000427246094
1748786360.446523,465498,183.30999755859375
1748786396.9915543,467757,180.67999267578125
1748786430.8570724,469889,178.8000030517578
1748786466.7257822,472148,178.4199981689453
1748786501.851347,474442,182.24000549316406
1748786535.6738021,476502,175.2899932861328
1748786570.6598282,478735,163.88999938964844
1748786605.4210107,480792,162.0500030517578
1748786642.8462238,483210,154.52999877929688
1748786677.5660088,485385,145.00999450683594
1748786712.3683643,487588,138.97999572753906
1748786746.0867927,489733,140.27000427246094
1748786782.0462656,492049,152.8699951171875
1748786817.2644477,494274,160.22000122070312
1748786853.2047188,496593,161.3699951171875
1748786886.3127847,498686,165.52000427246094
1748786920.2134678,500798,170.49000549316406
